,title,company,salary,summary
0,Python Developer,ONQOR Group,"£30,000 - £35,000 a year","We are heavily creative with a focus on helping brands that are sustainable, ethical & moral, ONQOR Group is a 360° Marketing & Technology Agency proudly…"
1,Python Developer,Escape Kent - Canterbury's Biggest Escape Rooms,"From £30,000 a year","We are searching for two highly skilled software engineers to join our incredibly talented prop development team on a full time, permanent basis, with long term…"
2,Junior Python Developer,Answer Digital,,"NET, JavaScript and related technologies.Have a demonstrable thirst for learning (including self-learning) and forever have your eyes peeled for the next new…"
3,Python Developer Flask API - MedTech,clientserver,"£70,000 - £80,000 a year","As a Python Developer you will collaborate with the tech lead, frontend developers, designers and the product manager to make key decisions to inform technical…"
4,newPython Developer - Remote,clientserver,"£70,000 - £80,000 a year","You'll get involved with projects across the platform collaborating remotely with cross functional engineering teams, Data Scientists and business stakeholders."
5,newPython Developer,"JPMorgan Chase Bank, N.A.",,In order to deliver against these objectives there is a requirement for an integrated software solution to manage the end to end lifecycle of infrastructure…
6,newPython Developer,QuantSpark,"£40,000 - £50,000 a year",We go beyond the remit of traditional strategy consultancies by blending advanced data analytics and software engineering capabilities to build analytical tools…
7,Python Developer,Bond McKenzie,"£45,000 - £65,000 a year",This new Python Developer role in the City is with a leading Asset Manager / Fund Manager.Developing new and enhancing current enterprise tools and…
8,newPython Developer,Origin Digital,"Up to £70,000 a year","Python developer that understands and demonstrates best practices when writing code.To understand requirements, follow best practices, and actively participate…"
9,newContractor : Python Developer,Cambridge Consultants Ltd,,We’re looking for experienced contractors to support us on developing a complex multi-element test and CI infrastructure.
10,Python Developer,Shloka IT Consulting LTD,"£28,000 - £38,000 a year","Experienced in writing python and loves to code.Produce software design specifications relating to data, API and cloud services."
11,Python Developer,Morgan Stanley,,The role would suit candidates who have a strong Python background with particular emphasis on Scripting and Databases.
12,Graduate Python Developer,Fundment,"£30,000 - £50,000 a year",Experienced in writing python and loves to code.Analysis of financial data and appropriate application of cutting-edge technology such as machine learning.
13,Python/Flask Developer,develop.,£400 - £625 a day,A successful candidate should have 3 years minimum python web development experience in a commercial setting.This contract is outside of IR35 and is offered as…
14,Python Developer,Nibble Technology,"From £35,000 a year",The role will involve helping us to develop and build out our platform and play a role in supporting the development of new experiences and features.
15,Python Developer,ONQOR Group,"£30,000 - £35,000 a year","We are heavily creative with a focus on helping brands that are sustainable, ethical & moral, ONQOR Group is a 360° Marketing & Technology Agency proudly…"
